id;nazov;mestska_cast;ucel;faza;navrhovatel;dokumentov;suradnice;poznamka;hladat_v_mapach;spis
sklad-odpadovych-baterii-akumulatorov-podunajske-biskupice;Sklad odpadových batérií a akumulátorov - Podunajské Biskupice;Bratislava - Podunajské Biskupice;Výroba a sklady;posúdené;SIBIN s.r.o., Haninska 437;9;;;https://www.google.com/maps/search/Sklad%20odpadov%C3%BDch%20bat%C3%A9ri%C3%AD%20a%20akumul%C3%A1torov%20-%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/sklad-odpadovych-baterii-akumulatorov-podunajske-biskupice
south-point-logistic-park;South Point Logistic Park;Bratislava - Podunajské Biskupice;Výroba a sklady;posúdené;South Point Logistic Park, s.r.o., Ružová dolina 25;14;;;https://www.google.com/maps/search/South%20Point%20Logistic%20Park%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/south-point-logistic-park
spatny-zasyp-lomu-strkopiesku-podunajske-biskupice;Spätný zásyp lomu štrkopiesku Podunajské Biskupice;Bratislava - Podunajské Biskupice;Výroba a sklady;posúdené;Danucem Slovensko a.s.;10;;;https://www.google.com/maps/search/Sp%C3%A4tn%C3%BD%20z%C3%A1syp%20lomu%20%C5%A1trkopiesku%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/spatny-zasyp-lomu-strkopiesku-podunajske-biskupice
stredisko-zhodnotenia-stavebneho-odpadu;Stredisko zhodnotenia stavebného odpadu;Bratislava - Podunajské Biskupice;Technická infraštruktúra;zámer;ANČETA s.r.o., Podunajské Biskupice – Ketelec;4;;;https://www.google.com/maps/search/Stredisko%20zhodnotenia%20stavebn%C3%A9ho%20odpadu%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/stredisko-zhodnotenia-stavebneho-odpadu
supermarket-billa-bratislava-podunajske-biskupice;Supermarket BILLA Bratislava - Podunajské Biskupice;Bratislava - Podunajské Biskupice;Obchod a služby;posúdené;BILLA Reality Slovensko spol. s.r.o., Bratislava;1;;;https://www.google.com/maps/search/Supermarket%20BILLA%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/supermarket-billa-bratislava-podunajske-biskupice
technologicky-park-olo;Technologický park OLO;Bratislava - Podunajské Biskupice;Plány a koncepcie;zámer;Odvoz a likvidácia odpadu a.s. (OLO a.s.), Ivanská cesta 22;7;;;https://www.google.com/maps/search/Technologick%C3%BD%20park%20OLO%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/technologicky-park-olo
vyrobna-vibrolisovanych-betonovych-vyrobkov-v-areali-spol-z-stav-podun;Výrobňa vibrolisovaných betónových výrobkov v areáli spol. A-Z STAV, Podunajské Biskupice;Bratislava - Podunajské Biskupice;Výroba a sklady;posúdené;A-Z STAV, s.r.o., Koceľova 17;6;;;https://www.google.com/maps/search/V%C3%BDrob%C5%88a%20vibrolisovan%C3%BDch%20bet%C3%B3nov%C3%BDch%20v%C3%BDrobkov%20v%20are%C3%A1li%20spol.%20A-Z%20STAV%2C%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/vyrobna-vibrolisovanych-betonovych-vyrobkov-v-areali-spol-z-stav-podun
vystavba-mobilnej-betonarky-podunajske-biskupice;Výstavba mobilnej betonárky, Podunajské Biskupice;Bratislava - Podunajské Biskupice;Výroba a sklady;zámer;CRH (Slovensko) a. s., Rohožník, v zastúpení spoločnosti GS Pro s. r. ;3;;;https://www.google.com/maps/search/V%C3%BDstavba%20mobilnej%20beton%C3%A1rky%2C%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/vystavba-mobilnej-betonarky-podunajske-biskupice
zeleny-raj-rodinne-domy-s-bytovymi-jednotkami-v-radovej-zastavbe;ZELENÝ RAJ - rodinné domy s bytovými jednotkami v radovej zástavbe;Bratislava - Podunajské Biskupice;Bývanie;posúdené;BEM REAL, s.r.o., Štefánikova 33;19;;;https://www.google.com/maps/search/ZELEN%C3%9D%20RAJ%20-%20rodinn%C3%A9%20domy%20s%20bytov%C3%BDmi%20jednotkami%20v%20radovej%20z%C3%A1stavbe%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zeleny-raj-rodinne-domy-s-bytovymi-jednotkami-v-radovej-zastavbe
zariadenie-aerobneho-zhodnocovania-odpadu;Zariadenie aeróbneho zhodnocovania odpadu;Bratislava - Podunajské Biskupice;Vybavenosť;zámer;Odvoz a likvidácia odpadu a.s., Ivanská cesta 22;8;;;https://www.google.com/maps/search/Zariadenie%20aer%C3%B3bneho%20zhodnocovania%20odpadu%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zariadenie-aerobneho-zhodnocovania-odpadu
