istota;projekt;znamka;majitel;cislo;firma;skupina;zhoda_slov;projekt_id
ista;Dostavba územia autobusovej stanice a prestavba areálu Kablo Bratislava, Mlynské Nivy, na mestské polyfunkčné územie Twin City;NIVY TOWER;HB REAVIS Slovakia a. s.;2363-2018;Twin City a.s.;HB Reavis;1;dostavba-uzemia-autobusovej-stanice-prestavba-arealu-kablo-bratislava-
ista;Dostavba územia autobusovej stanice a prestavba areálu Kablo Bratislava, Mlynské Nivy, na mestské polyfunkčné územie Twin City;TWIN CITY;HB Reavis Group a. s.;683-2005;Twin City a.s.;HB Reavis;1;dostavba-uzemia-autobusovej-stanice-prestavba-arealu-kablo-bratislava-
ista;Forum Business Center II., Bratislava;BRATISLAVA BUSINESS CENTER;HB REAVIS Slovakia a. s.;2537-2000;Pressburg Urban Projects a.s.;HB Reavis;1;forum-business-center-ii-bratislava
ista;Novostavba administratívnej budovy The Mill;THE MILL;Immocap Mill I s. r. o.;524-2019;Immocap Invest III;;1;novostavba-administrativnej-budovy-the-mill
ista;Nová Matadorka - Revitalizácia areálu závodu MATADOR;Nová Matadorka;OXIO s. r. o.;903-2022;OXIO s. r. o.;;2;nova-matadorka-revitalizacia-arealu-zavodu-matador-
ista;Nový Istropolis;NOVÝ ISTROPOLIS;Trnavské Mýto , a.s.;828-2019;Trnavské Mýto;;2;novy-istropolis
ista;Nový Istropolis;Istropolis;Trnavské Mýto , a.s.;1431-2017;Trnavské Mýto;;1;novy-istropolis
ista;Nový Istropolis – Integrácia funkčných zón;NOVÝ ISTROPOLIS;Trnavské Mýto , a.s.;828-2019;Trnavské Mýto;;2;novy-istropolis-integracia-funkcnych-zon
ista;Nový Istropolis – Integrácia funkčných zón;Istropolis;Trnavské Mýto , a.s.;1431-2017;Trnavské Mýto;;1;novy-istropolis-integracia-funkcnych-zon
ista;OBYTNÝ SÚBOR SLNEČNÝ VRCH I, BRATISLAVA – DEVÍNSKA NOVÁ VES;Slnečný vrch;Slnečný vrch , s.r.o.;209-2025;Slnečný vrch;;2;obytny-subor-slnecny-vrch-i-bratislava-devinska-nova-ves
ista;OMNIA BUSINESS CENTER ZMENA 2016;OMNIA;OMNIA HOLDING, SE;5422-2008;OMNIA INVEST;;1;omnia-business-center-zmena-2016
ista;OMNIA BUSINESS CENTER, Bratislava;OMNIA;OMNIA HOLDING, SE;5422-2008;OMNIAINVEST;;1;omnia-business-center-bratislava
ista;Obchodný dom KIKA II – Bory Mall, Bratislava - Lamač;B BORY MALL;Bory Mall s. r. o.;5462-2009;Bory;Penta Real Estate;2;obchodny-dom-kika-ii-bory-mall-bratislava-lamac
ista;Obytný súbor Rakyta;Rakyta;Rakyta Land Development, a.s.;2884-2021;Rakyta Land Development;Lucron / Vydrica Development;1;obytny-subor-rakyta
ista;Obytný súbor Rakyta Západ, Bratislava;Rakyta;Rakyta Land Development, a.s.;2884-2021;Rakyta Land Development;Lucron / Vydrica Development;1;obytny-subor-rakyta-zapad-bratislava
ista;POLYFUNKČÝ SÚBOR STAVIEB KLINGERKA 2 (stavba č. 5 objekt SO 206) a POLYFUNKČNÝ SÚBOR STAVIEB KLINGERKA 3 (stavba č. 5 objekty SO 301 a SO 302);KLINGERKA;JTRE a.s.;2304-2016;Averta;J&T Real Estate;1;polyfunkcy-subor-stavieb-klingerka-2-stavba-c-5-objekt-so-206-polyfunk
ista;Panorama City – I. etapa;PANORAMA CITY;JTRE a.s.;5378-2013;Panorama byty;J&T Real Estate;1;panorama-city-i-etapa
ista;Polus Tower 3, a.s. Bratislava, Administratívna budova Millennium Tower III;Polus Towers;POLUS , a.s.;810-2026;Polus Tower 3;;1;polus-tower-3--bratislava-administrativna-budova-millennium-tower-iii
ista;Polus Tower 3, a.s. Bratislava, Administratívna budova Millennium Tower III;POLUS;POLUS , a.s.;128-2026;Polus Tower 3;;1;polus-tower-3--bratislava-administrativna-budova-millennium-tower-iii
ista;Polus Tower 3, a.s. Bratislava, Administratívna budova Millennium Tower III;POLUS CITY CENTER;POLUS , a.s.;594-2001;Polus Tower 3;;1;polus-tower-3--bratislava-administrativna-budova-millennium-tower-iii
ista;Polyfunkčná stavba TWIN CITY – zmena stavebných objektov;TWIN CITY;HB Reavis Group a. s.;683-2005;Twin City a.s.;HB Reavis;1;polyfunkcna-stavba-twin-city-zmena-stavebnych-objektov
ista;Polyfunkčný komplex Čerešne 2;Čerešne;ITB Development a.s.;1664-2023;ITIS;ITB Development;1;polyfunkcny-komplex-ceresne-2
ista;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;nivy;HB REAVIS Slovakia a. s.;555-2020;Twin City a.s.;HB Reavis;1;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
ista;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;Nivy Lab;HB REAVIS Slovakia a. s.;1847-2019;Twin City a.s.;HB Reavis;1;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
ista;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;Nivy X;HB REAVIS Slovakia a. s.;1843-2019;Twin City a.s.;HB Reavis;1;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
ista;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;Nivy Hub;HB REAVIS Slovakia a. s.;1839-2019;Twin City a.s.;HB Reavis;1;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
ista;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;NIVY TOWER;HB REAVIS Slovakia a. s.;2363-2018;Twin City a.s.;HB Reavis;1;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
ista;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;STANICA NIVY;HB REAVIS Slovakia a. s.;5414-2015;Twin City a.s.;HB Reavis;2;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
ista;Polyfunkčný objekt Chalupkova R1;Chalupkova;Penta Real Estate , a. s.;2752-2024;Smart City Office I s. r. o.;Penta Real Estate;1;polyfunkcny-objekt-chalupkova-r1
ista;Polyfunkčný objekt Chalupkova R1;Chalupkova Offices;Penta Real Estate , a. s.;2751-2024;Smart City Office I s. r. o.;Penta Real Estate;1;polyfunkcny-objekt-chalupkova-r1
